id,created_at,date,time,timezone,user_id,username,name,tweet,hashtags,link,sentiment,depression_score
1.11E+18,1.55E+12,3/12/2019,14:11:05,India Standard Time,3354696231,emergenciainter,Alerta Desaparecidos y Emergencias Internacionales,"I've just posted a new blog: RED alert: Cyclone IDAI-19 inMozambique : 1286559 people in Cat1(120km/h) , 5964959 in tropical depression.  https://ift.tt/2VTLLxU ",[],https://twitter.com/emergenciainter/status/1105388229778464769,0,0
1.11E+18,1.55E+12,3/12/2019,14:10:56,India Standard Time,448878330,eviedegraef,Evie De Graef,Must see series! I cried my eyes out while bingewatching  #afterlife #sublime #sad #hope #depression #love #netflix,"['#afterlife', '#sublime', '#sad', '#hope', '#depression', '#love', '#netflix']",https://twitter.com/eviedegraef/status/1105388189743644672,0,0
1.11E+18,1.55E+12,3/12/2019,14:10:54,India Standard Time,64884538,fuckphenty,j,Depression is really getting on my nerves. I am having difficult time dealing with it.. No one knows with what m going through. Its getting worse and worse day by day. Waiting for my death to come.,[],https://twitter.com/fuckphenty/status/1105388181879443457,1,0.8
1.11E+18,1.55E+12,3/12/2019,14:10:53,India Standard Time,839369041,gawabrfc,Russell Adams,dealing with the debts of depression and trying to get back to being ok again ,[],https://twitter.com/GAWABRFC/status/1105388176498192385,1,0.5
1.11E+18,1.55E+12,3/12/2019,14:10:50,India Standard Time,4835700448,owo_doodles,gay demon,i have depression,[],https://twitter.com/owo_doodles/status/1105388165404282880,1,0.5
1.11E+18,1.55E+12,3/12/2019,14:10:34,India Standard Time,8.68E+17,makaelastalker,Charmander trainer,True struggles: -being lonely and also anti-social  -having no friends and also hating all people - wanting to do stuff and also trying to get over depression  -wanting to eat healthy and also too broke to afford it  -hates drinking and also drinks myself to sleep everyday 💀,[],https://twitter.com/MakaelaStalker/status/1105388100530782208,1,0.5
1.11E+18,1.55E+12,3/12/2019,14:10:34,India Standard Time,468593221,iamearthkwake,AFRICANACITY®, help me please. M dying with Depression.  ,[],https://twitter.com/iamearthkwake/status/1105388097137631232,1,0.8
1.11E+18,1.55E+12,3/12/2019,14:10:24,India Standard Time,1958436504,peoniamai,𝐦𝐚𝐢,cant wait to go home and take a fat ass depression nap,[],https://twitter.com/peoniamai/status/1105388058529083392,1,0.3
1.11E+18,1.55E+12,3/12/2019,14:10:18,India Standard Time,380936713,keletsomoloto_,Keletso..,Depression is the least of my worries. I don�t have it.,[],https://twitter.com/KeletsoMoloto_/status/1105388030456586241,0,0
1.11E+18,1.55E+12,3/12/2019,14:10:11,India Standard Time,9.04E+17,master_winch64,W I N C H E L L E 🎩,fuckin petas got me stressed out. i also gotta deal with high induced depression all day. ,[],https://twitter.com/Master_Winch64/status/1105388004149944320,1,0.3
